Time,Mx_f,My_f,Mz_f,B_z,B_x,B_y
0.003,-0.008377376219223423,-0.849585054789239,0.5246050307404295,6,-340.0002603890533,0
0.001,0.0041895894554355275,0.781142893530172,0.6237064944792022,10,897.7402733819338,0
0.014,0.02927148518176448,-0.9205642886649128,0.36642426269781875,-4,-85.99776912061715,0
0.003,0.0011237595203797404,0.3704258899714128,0.9286058008115938,2,126.88771593957802,0
0.009,-0.032233248468674536,-0.6268505611645673,0.7756866260998942,11,-76.22966535570689,0
0.001,-0.002820263455941099,0.7559712278810184,0.6540415409328731,-7,858.2785402121219,0
0.003,-0.004199908376395886,-0.6688459137217717,0.7422751805201127,4,-245.11415159788095,0
0.005,0.032231217677137075,0.6501433831143865,0.7574128282835534,19,142.66985914480574,0
0.013,-0.010385381394255617,-0.31795488904726155,0.9472505910807837,5,-25.244664079574974,0
0.003,-0.03728741232551076,0.9951674993634487,0.05484968782566814,-20,506.1992736882097,0
0.011,0.12810798863643874,0.9666121718683507,0.17931308978792038,20,127.43392846782723,0
0.002,0.004950943288709863,0.25921677205305466,0.9657272415929035,19,131.40615677015182,0
0.008,-0.012905757782062714,-0.6220241326628949,0.7804791405739524,5,-84.7316560863646,0
0.003,0.021261724739608155,0.9457055216106998,0.31807587737795473,13,416.3427053188585,0
0.01,0.002750902180991914,-0.06893809581440721,0.9975901877994351,-8,-6.976022816078569,0
0.014,0.08219783296954251,-0.6588289721608648,0.7426492245681837,-17,-52.877648090306614,0
0.002,0.001159060852557996,-0.08915355306439046,0.9960082239504114,-13,-44.730640766161855,0
0.013,0.011128510414654458,-0.1712760445754183,0.9849393451998278,-10,-13.452929738304377,0
0.009,0.0,-0.947556678870176,0.2997927621109462,0,-141.3274220958358,0
0.007,-0.05385392581814344,0.9480316556911912,0.29792371010755453,-14,181.89544544754648,0
0.005,0.025074360097336948,-0.7285604933749456,0.6820646804978507,-13,-164.45010784465208,0
0.006,-0.033476191391861566,-0.9927512611164727,0.053427437566435435,9,-253.72653536883945,0
0.006,0.018538327106779422,-0.8152654081693493,0.5742122219958439,-7,-160.32034199786972,0
0.004,-0.0010305872431416749,0.036842116671101946,0.9993175055911183,-14,9.254357658810648,0
0.008,-0.07395618229008022,-0.8429107168190343,0.5256168418857872,20,-127.80093208235768,0
0.01,-0.01880864276361352,0.6059983990385274,0.7924335790860724,-6,65.9070615797603,0
0.015,-0.007745645044144896,0.9138176948111544,0.38292683838525865,-1,79.09491535008256,0
0.001,-0.01231339392333622,-0.9955895042036739,0.08331024213861127,20,-1488.1942104375357,0
0.008,0.03749895941122594,0.5682835191846375,0.8200802612688969,16,76.48333717410603,0
0.005,0.005674313613593333,0.11345727730155433,0.9934899850294382,20,22.893010472657352,0
0.01,0.07877505241906668,-0.9836425829930242,0.09734743400140716,-13,-148.22678200811998,0
0.007,0.009928364454463268,0.8598028428040454,0.5035555879863265,3,149.50937640415674,0
0.007,-0.07710112526198211,-0.9876757092274319,0.08138299063377963,18,-213.71735227521833,0
0.011,-0.0008372085066349383,-0.025452786003356202,0.999671645264325,6,-2.341383796630197,0
0.013,0.04436793127228285,-0.7930447784624486,0.5986104866873099,-8,-71.93202310118738,0
0.011,0.005800276952491647,0.06596050486385922,0.9977780348392632,16,6.098424714244402,0
0.002,0.007687718076801908,0.5731600972212955,0.8189268737387726,13,305.91220162781667,0
0.011,-0.06381161994430858,-0.9708827367158982,0.1908875653650007,10,-126.1157528408947,0
0.009,-0.05737634297794121,-0.8342971953491489,0.5405424310023571,14,-111.63144017002222,0
0.014,-0.04896271407297453,0.8932539229903157,0.42867414071910376,-7,81.13448935914096,0
0.003,0.00014234735511147215,0.013569762472313148,0.9999076053370538,7,4.537310474217634,0
0.008,-0.031155332217167004,0.3844495179635925,0.9218723981804995,-20,49.9689779137598,0
0.005,-0.06002902311159267,-0.9936283511423172,0.004971233599564515,19,-314.1542821503942,0
0.01,-0.031795624742089704,0.33150361890845065,0.9422402424171622,-19,34.35673423267062,0
0.007,-0.011250038352150783,0.7548329646110046,0.6519139077867565,-4,123.35712514512534,0
0.009,0.07395438745247539,-0.8714934266214784,0.4748431115552151,-17,-120.20128395062483,0
0.002,-0.0009952348745820043,-0.8922778783134823,0.4490128615466,1,-553.0964131667291,0
0.004,-0.017633583748209627,0.47988332292412084,0.8765372876595086,-18,125.79540484767978,0
0.013,0.006667537875819584,-0.9100487977994842,0.39522571340810614,-1,-90.14002736602262,0
0.015,0.009639992270654372,-0.3199132211903976,0.9464637727322383,-4,-22.061569084201366,0
